Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Information / Criminal Damage to Property,6420 S. University ,6/8/16,6/8/16 7:52 PM,Approximately 30-40 subjects gained entry and vandalized the school / Subjects fled as police arrived on the scene / CPD case HZ299269,CPD,16-00486,-87.5980675,41.7785315
Information / Domestic Battery,5500 S. Woodlawn ,6/8/16,6/8/16 10:35 PM,Girlfriend struck boyfriend during an argument in a vehicle parked on the street off-campus / Suspect arrested for battery by CPD / CPD case HZ299317,CPD,16-00487,-87.5975921,41.7948242
Information / Robbery,1027 E. 53rd St. ,6/9/16,6/9/16 1:05 AM,Two unknown suspects forcibly took a bag from a victim walking on the sidewalk off-campus / CPD case HZ299471,CPD,16-00488,-87.6001364,41.7991923
Lost Property,5800 S. Greenwood ,6/8/16,6/8/2016  12:00 PM to 3:00 PM,Individual lost UC ID somewhere in the Main Quadrangle,Closed,16-00489,-87.5997452,41.7939867
Information / Traffic Crash,5812 S. Kenwood,6/9/16,6/9/16 10:40 AM,"UC owned vehicle involved in traffic crash / Property damage only, no injuries reported / 2016 MVA00092",Closed,16-00490,-87.5931904,41.7895027
Found Property,6054 S. Drexel,6/9/16,6/8/16 4:00 PM to 11:55 PM,A wallet found on a shuttle bus turned over to UCPD for safekeeping by First Transit staff member,Closed,16-00491,-87.604867,41.78464
Theft,929 E. 57th St. ,6/9/16,6/9/16 9:00 AM to 2:00 PM,Unattended wallet and portable hard drive taken from unsecured desk drawer in unsecured lab / Unauthorized use of credit cards reported,Open,16-00492,-87.60270899999999,41.7908878
Medical Call,5800 S. Stony Island ,6/9/16,6/9/16 5:52 PM,CFD EMS examined distressed individual / Subject determined not to be in need of medical attention,Closed,16-00493,-87.58707419999999,41.7892887
Assault,5815 S. Maryland ,6/10/16,6/10/16 11:10 AM,Victim's boyfriend threatened her and placed her in fear of receiving bodily harm / Suspect left before UCPD officers arrived / Victim refused to prosecute,Ex. Cleared,16-00494,-87.6041439,41.78917240000001
Injured Person,5801 S. Ellis ,6/10/16,6/10/16 11:30 AM,"Visitor tripped on steps, dropping glass bottle that shattered resulting in a laceration of victim's right hand / Victim declined offer of medical attention",Closed,16-00495,-87.60091480000001,41.7895697
Lost Property,5505 S. Ellis ,6/10/16,6/10/16 2:40 PM to 3:05 PM,Individual reported losing purse from basket of Divvy bike,Closed,16-00496,-87.601637,41.79457499999999
Lost Property,5815 S. Maryland ,6/12/16,6/10/16 to 6/12/16 4:30 PM to 10:00 AM,Wallet placed under bedsheets by patient is missing / Laundry is being checked,Closed,16-00497,-87.6041439,41.78917240000001
Warrant Arrest,1519 E. 54th St.,6/12/16,6/12/16 2:18 PM,"Subsequent to stopping a motorist for a traffic violation, UCPD officer discovered motorist was wanted on a warrant issued by Cook County Sheriff's Dept.",Arrest,16-00498,-87.5882869,41.7978945
Information / Lost Property,55th and Lake Park & 54th and Kenwood,6/13/16,6/12/16 10:30 PM to 10:45 PM,"Individual reports losing wallet, containing UC ID, between 55th & Lake Park and 54th & Kenwood",Closed,16-00499,-87.59326639999999,41.8094772
Found Property,6054 S. Drexel,6/13/16,6/1016 to 6/11/16 4:30 PM to 12:30 AM,Samsung Galaxy S5 found on Shuttle Bus turned over to UCPD by First Transit staff member / Inventoried for safekeeping at UCPD,Closed,16-00500,-87.604867,41.78464
Traffic Crash / Property Damage,5747 S. Ellis,6/13/16,6/13/16 1:54 PM,UC owned vehicle involved in traffic crash with another vehicle / No injuries reported / 2016 MVA00093,Closed,16-00502,-87.60097390000001,41.7900022
Information / Medical Call,924 E. 57th St. ,6/14/16,6/14/16 9:45 AM,"Individual suffered a seizure / CFD EMS responded, however, subject declined offer of medical treatment",Closed,16-00503,-87.6028077,41.79192099999999
Found Property,5835 S. Greenwood ,6/14/16,6/14/16 1:00 PM,Individual found a wallet while in Stuart Hall / Turned over to UCPD for safekeeping,Closed,16-00504,-87.59909929999999,41.7884006
Theft from Person,5758 S. Maryland ,6/15/16,6/15/16 8:10 AM,"Unknown subject brushed against victim on the elevator / Upon exiting the elevator, the victim realized her cell phone had been taken from her pocket",Open,16-00505,-87.60554789999999,41.7901233
Information / Aggravated Battery,6227 S. Cottage Grove ,6/15/16,6/15/16 9:20 PM,CPD officers responded to a call of shots fired off-campus found a victim shot in an alleyway / CFD EMS transported victim to hospital / CPD case,CPD,16-00507,-87.6055836,41.7813601
Theft,901 E. 58th St. ,6/15/16,6/15/16 7:00 PM to 10:00 PM,Two prescription pill bottles taken from purse while owner slept in a chair in exam room / Complainant informed investigator she found her medication at home / No crime committed,Unfounded,16-00508,-87.6049245,41.78949770000001
Information / Armed Robbery,1342 E. 55th St. ,6/15/16,6/15/16 11:30 PM,"Two unknown suspects, one armed with a handgun, took a backpack from a victim walking on the sidewalk off-campus before fleeing northbound on S. Kenwood / Victim reported no injuries / Referred to CPD",CPD,16-00509,-87.59318230000001,41.7953236
Domestic Battery,5841 S. Maryland ,6/16/16,6/16/16 10:22 AM,"During a verbal dispute, patient's girlfriend threw a cup at victim resulting in a laceration to his chin / Suspect arrested by UCPD",Arrest,16-00510,-87.6045656,41.7883128
Theft,5501 S. Ellis ,6/16/16,6/16/16 6:50 PM to 7:00 PM,Bag left unattended on sidewalk taken by unknown person / Bag later recovered minus energy drink and medication,Open,16-00512,-87.600565,41.794573
Traffic Crash / Property Damage,941 E. 54th St.,6/17/16,6/17/16 12:55 AM,"UCPD officer observed a motorist collide with a parked vehicle, a wrought iron fence and a city sign / Motorist was arrested and charged with DWI and other traffic citations",Arrest,16-00513,-87.6025265,41.797901
Lost Property,6054 S. Drexel,6/17/20,6/16/16 4:40 PM to 5:30 PM,Individual reported losing his wallet somewhere in the vicinity of 60th & Drexel,Closed,16-00514,-87.604867,41.78464
Theft,5835 S. Greenwood ,6/17/16,6/10/16 to 6/17/16 6:00 PM to 10:50 AM,Desktop computer taken from Stuart Hall library room 215,Open,16-00515,-87.59909929999999,41.7884006
Information / Death Investigation,54th St. between Dorchester & Blackstone,6/18/16,6/18/16 10:20 AM,As a result of a well-being check CPD officers found two people deceased in an off-campus private residence / CPD case HZ312763,CPD,16-00516,-87.5910643000569,41.79803590190659
Information / Aggravated Battery,4505 S. Drexel ,6/19/16,6/19/16 2:22 AM,CPD officers responded to off-campus location at 45th & Drexel and found individual suffered gunshot wound to the right leg / Transported to hospital by CFD EMS / CPD case HZ313795,CPD,,-87.6033861,41.812941
Information / Aggravated Battery,6147 S. Kimbark,6/19/16,6/19/16 6:15 PM,CPD and UCPD officers responded to a call of shots fired off-campus / Officers were informed a 3-yr.-old child suffered gunshot wounds as a result of a drive-by shooting / Parent rushed the child to the hospital / CPD case HZ314632,CPD,,-87.59424000000001,41.782801
Criminal Trespass to Motor Vehicle,5500 S. South Shore Dr.,6/19/16,6/19/16 9:50 PM,UCPD officers arrested a motorist for driving a vehicle that had been reported stolen in Romulus MI,Arrest,16-00517,-87.56721160000001,41.7733656
Theft,924 E. 57th St. ,6/20/16,6/20/16 12:20 PM to 12:35  PM,"iPhone taken from an unattended, unsecured book bag left in hallway",Open,1-00518,-87.6028077,41.79192099999999
Theft,Starbucks 865 E. 57th St.,6/20/16,6/20/16 1:15 PM,Unknown suspect  distracted victim and took iPhone from table top,Open,16-00519,-87.6043329,41.7913386
Information / Traffic Crash,1501 E. 55th St.,6/20/16,6/20/16 6:35 PM,Car sideswiped a shuttle bus unloading passengers / Property damage only / No injuries reported MVA 2016-00099,Closed,16-00520,-87.5891997,41.7950005
Theft from Motor Vehicle,6050 S. Woodlawn,6/21/16,6/18/16 12:00 AM to 7:00 AM,Unknown person(s) entered and took property from an unsecured car parked on the street,Open,16-00521,-87.5963252,41.7844935
Theft,1100 E. 57th St. ,6/21/16,6/16/16 2:00 PM to 2:45 PM,iPad taken from unattended and unsecured back pack,Open,16-00522,-87.6001136,41.7922076
Criminal Trespass to Land,924 E. 57th St. ,6/21/16,6/21/16 12:21 PM,"Individual, after receiving prior oral and written notice banning him from University property, was arrested by UCPD officers for trespass",Arrest,16-00523,-87.6028077,41.79192099999999
Theft,1155 E. 60th St.,6/22/16,6/21/16 to 6/22/16 2:00 AM to 4:20 AM,Secured bicycle taken from bike rack,Open,16-00524,-87.5971531,41.7855052
Information / Lost Property,6045 S. Kenwood,6/22/16,6/22/16 9:10 AM to 2:05 PM,Staff member reports losing wallet containing UC ID on CTA bus outside of the UCPD Patrol Area,Closed,16-00525,-87.592671,41.7847535
Armed Robbery,5600 S. Kimbark ,6/22/16,6/22/16 4:20 PM,"Two unknown suspects, one armed with a handgun, took property from a person walking on the sidewalk off-campus / Victim reported no injuries",Open,16-00526,-87.5950711,41.7929452
Battery / Domestic,6031 S. Ellis ,6/22/16,3/1/15 to 4/1/16 Various,Victim provided information of domestic / dating violence over an extended period of time,Open,16-00527,-87.6003487,41.78502539999999
Information / Attempt Aggravated Robbery,950 E. 61st St. ,6/22/16,6/22/16 4:20 PM,"Two unknown suspects, implying a weapon (no weapon seen), attempted to take a cell phone from a victim walking on the sidewalk / Victim ran before suspects could take property / CPD case HZ319143",CPD,16-00528,-87.6024204,41.7844442
Information / Armed Robbery,5405 S. Kimbark ,6/22/16,6/22/16 8:55 PM,"Two unknown suspects, one armed with a knife, took an iPhone from a victim walking on the sidewalk off-campus / CPD case HZ313818",CPD,16-00529,-87.5949742,41.7978798
Found Property,6054 S. Drexel,6/23/16,6/22/16 to 6/23/16 5:00 PM to 12:45 PM,Items found on shuttle bus turned over to UCPD for safekeeping by First Transit staff member,Closed,16-00530,-87.604867,41.78464
Theft,5757 S. Woodlawn ,6/23/16,6/23/16 5:00 PM,Suspect distracted victim and took cell phone from the table in café,Open,16-00531,-87.59593439999999,41.7898103
Criminal Trespass to Land,5700 S. Ellis ,6/23/16,6/23/16 5:37 PM,Two unauthorized individuals were discovered in a secured area / Individuals given a trespass warning and escorted off the premises by UCPD officers,Closed,16-00532,-87.60132039999999,41.7913658
Information / Attempt Robbery,51st & Cornell,6/23/16,6/23/16 11:00 PM,Two unknown suspects attempted to take a back pack from a victim walking on the sidewalk off-campus / Suspects fled without taking property / CPD case HZ320903,CPD,16-00533,-87.6297982,41.8781136
Information / Armed Robbery,950 E. 53rd St.,6/24/16,6/24/16 12:05 AM,"Three unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus / Victims reported no injuries / CPD case HZ320940",CPD,16-00534,-87.6023379,41.7993944
Theft,1362 E. 59th St. ,6/24/16,6/24/16 4:05 PM to 4:10 PM,Unattended iPhone taken from desk top in unsecured office,Open,16-00536,-87.5939404,41.78802779999999
Medical Call,Ellis between 53rd & 54th,6/25/16,6/25/16 1:10 AM,Individual became ill after ingesting an unknown substance and smoking marijuana at a party off-campus / Transported to ER by CFD EMS,Referred,16-00537,-87.60129274976322,41.79865465000185
Information / Robbery,5813 S. Blackstone ,6/25/16,6/25/16 5:30 AM,Three unknown suspects forcibly took a back pack from a victim walking on the sidewalk off-campus / CPD case HZ322507,CPD,16-00538,-87.58979699999999,41.789257
Information / Burglary,Kimbark between 57th & 58th,6/25/16,6/24/16 to 6/25/16 4:00 PM to 10:05 AM,Unknown person(s) forced entry to a private apartment off-campus via rear door / CPD case,CPD,16-00540,-87.5948215996778,41.790531800002256
Information / Burglary,57th St. between Dorchester & Blackstone,6/25/16,6/22/16 to 6/25/16 9:45 AM to 9:30 AM,Unknown person(s) forced entry to a private apartment off-campus via rear door / CPD case,CPD,16-00541,-87.59093030006511,41.791489201965646
Found Property,929 E. 57th St. ,6/27/16,6/27/16 7:00 AM,A box containing 15 rounds of rifle ammunition found by staff member emptying trash container / Turned over to UCPD for disposal,Closed,16-00542,-87.60270899999999,41.7908878
Lost Property,5811 S. Ellis ,6/27/16,6/24/16 to 6/27/16 3:50 PM to 6:00 AM,Individual reports loss of laptop computer / Last recalls seeing property in Cobb Hall,Closed,16-00543,-87.600948,41.7889636
Information / Theft,Woodlawn between 53rd & 54th,6/27/16,6/26/16 to 6/27/16 9:00 PM to 1:00 PM,Bicycle secured to railing at off-campus private apartment building taken by unknown person / Referred to CPD,CPD,16-00544,-87.59660464911711,41.797983050006515
Battery,5815 S. Maryland ,6/27/16,6/27/16 7:15 PM,3 visitors struck an individual with hands and fists  during the course of an argument in patient's room / Suspects fled before police arrived,Open,16-00545,-87.6041439,41.78917240000001
Found Property,5100 S. Ellis,6/28/16,6/28/16 8:30 AM,Individual found shotgun shell on the ground off-campus / Turned over to UCPD for proper disposal,Closed,16-00546,-87.6016439,41.801896
Traffic Crash,850 E. 58th St.,6/28/16,6/28/16 4:19 PM,"Parked, unoccupied UC owned vehicle struck by another motor vehicle / Property damage only / No injuries reported / 2016-MVA000101",Closed,16-00549,-87.60409899999999,41.7897594
Theft,5700 S. Maryland ,6/28/16,6/28/16 6:45 PM to 7:00 PM,"Suspect distracted victim and took cell phone from the table in café / Suspect identified, arrested and charged with felony theft on 7/27/16",Arrest,16-00550,-87.60495069999999,41.7910678
Assist Other Agency / Recovered Motor Vehicle,6200 S. Harper,6/29/16,6/29/16 10:17 AM,"UCPD officers, subsequent to a traffic stop, detained motorist for CPD upon discovering the vehicle had been reported stolen to CPD / CPD case HZ326986",CPD,16-00551,-87.5878699,41.7823428
Information / Theft,6300 S. University ,6/29/16,6/28/16 to 6/29/16 3:30 PM to 6:30 AM,Unknown person(s) cut locks at construction site and took construction tools and equipment / CPD case HZ327932,CPD,16-00552,-87.5972733,41.7804935
Theft,947 E. 58th St. ,6/29/16,6/16/16 12:30 AM to 10:00 AM,"Unattended, unsecured cell phone charger cord taken from lab workstation",Open,16-00553,-87.6025521,41.7893783
Non-Criminal / Damage to Property,5628 S. Drexel,6/30/16,6/30/16 9:20 AM,UC staff member using a weed whacker struck a rock that broke the passenger's side window in a vehicle parked at the curb / Vehicle owner notified,Closed,16-00554,-87.604023,41.78451099999999
Non-Criminal Property Damage,1150 E. 58th St. ,7/1/16,7/1/16 12:52 PM,"The letter ""S"" in Saieh Hall sign on rear of building is damaged / Cause unknown",Closed,16-00556,-87.6012587,41.7895481
Traffic Crash,940 E. 57th St.,7/1/16,7/1/16 12:50 PM,Parked UC owned vehicle sideswiped by another vehicle / Property damage only / No injuries reported / MVA00102,Closed,16-00557,-87.6026488,41.79144710000001
Information / Assist Other Agency,6052 S. Kenwood ,7/1/16,7/1/16 6:28 PM,"Suspect being chased on foot by CPD officers, threw a handgun over the fence of the gated athletic field / UCPD arranged to have gate unlocked / Weapon recovered, suspect in custody of CPD / CPD HZ331695",CPD,16-00558,-87.59310049999999,41.78431760000001
Information / Aggravated Battery,825 E. 62nd St. ,7/1/16,7/1/16 8:50 PM,Victim suffered a gunshot wound to the left leg as he walked with friends off-campus near the alley at 825 E. 62nd St. / Suspect(s) not seen / Transported to hospital by CFD EMS / CPD case HZ331878,CPD,16-00559,-87.60556299999999,41.7822127
Found Property,6054 S. Drexel,7/3/16,7/3/16 7:30 AM,Cash and ear phones found in UC owned vehicle / Inventoried for safekeeping,Closed,16-00560,-87.604867,41.78464
Information /  Shots Fired,Woodlawn between 61st & 62nd,7/3/16,7/3/16 10:02 AM,"UCPD and CPD officers responded to a call of shots fired off-campus / No injured persons, suspects or property damage found / No crime scene located",CPD,,-87.59627079958739,41.78323265000372
Assist Other Agency / Domestic Battery,5220 S. Drexel ,7/4/16,7/4/16 5:42 PM,UCPD officers detained a suspect who had pushed his girlfriend to the ground before fleeing in a car / Suspect arrested by CPD and charged with domestic battery / CPD case HZ335293,CPD,16-00561,-87.6045912,41.7997066
Information / Damage to Vehicle,6245 S. Ingleside ,7/5/16,7/5/16 12:15 AM,"A bullet, fired by unknown person, struck and damaged the overhead lights on UC owned vehicle off-campus",Closed,16-00562,-87.60234220000001,41.7809612
Information / Aggravated Battery,6243 S. Drexel ,7/5/16,7/5/16 12:15 AM,"Victim, walking in alley off-campus, struck in the face by a shot fired by unknown person / Transported to hospital by CFD EMS / CPD case",CPD,16-00563,-87.6039586,41.7809927
Information / Medical Call,Greenwood between 54th & 55th,7/5/16,7/5/16 1:35 AM,Individual became ill after consuming alcohol and illegal drugs at a private residence off-campus / Transported to ER by CFD EMS,Closed,16-00564,-87.59973880069491,41.79648045000404
Criminal Damage to Property,969 E. 60th St. ,7/5/16,7/5/16 10:50 AM,Unknown individual seen breaking side window of unoccupied van parked on the street,Open,16-00565,-87.6017409,41.7855814
Information / Robbery,915 E. 63rd St. ,7/5/16,7/5/16 10:30 AM,Suspect forcibly took cash from a victim who had just exited the currency exchange / CPD case,CPD,16-00566,-87.60227139999999,41.7801825
Theft,860 E. 59th St. ,7/5/16,7/5/16 12:20 PM to 1:00 PM,"Unattended, unsecured wallet taken from desktop in unsecured office / Subsequent unauthorized use of credit card reported",Open,16-00567,-87.6040539,41.7878853
Information / Theft from Motor Vehicle,5840 S. Maryland ,7/5/16,7/1/16 2:30 PM to 9:30 PM,Handgun taken from unattended vehicle parked in the parking structure / Previously reported to CPD,CPD,16-00568,-87.6049986,41.7888793
Information / Traffic Crash,5800 S. Stony Island,7/6/16,7/6/16 8:35 AM,"UC owned vehicle stopped in traffic was rear-ended by another vehicle / Property damage only, no injuries reported / 2016-MVA00103",Closed,16-00569,-87.58707419999999,41.7892887
Information / Forged Prescription,950 E. 59th St. ,7/6/16,6/21/16 7:00 AM to 5:00 PM,Staff member was notified that an unknown person attempted to obtain controlled substance with a forged prescription on N. Michigan Av. / CPD case,CPD,16-00570,-87.6027919,41.7878573
Harassment by Telephone,5640 S. University ,7/6/16,7/3/16 9:45 AM to 2:55 PM,Individual called victim's phone numerous times looking for an unknown person / Suspect refused to cease calling,Open,16-00571,-87.59822439999999,41.7925325
Weapons Violation,5815 S. Maryland ,7/6/16,7/6/16 2:25 PM,Firearm was found in patient's room / Weapon confiscated / Suspect arrested by UCPD for illegal possession of firearm,Arrest,16-00572,-87.6041439,41.78917240000001
Theft,5823 S. Kenwood ,7/6/16,7/6/16 3:30 PM to 5:00 PM,"iPhone taken from unsecured, unattended bag",Open,16-00573,-87.5931488,41.7894307
Found Property,1029 E. 57th St. ,7/6/16,7/6/16 8:23 PM,A brown wallet was found in the building and turned over to UCPD for safekeeping,Closed,16-00574,-87.5999171,41.7913772
Information / Armed Robbery,53rd St. between Woodlawn & Kimbark,7/7/16,7/7/16 2:55 AM,"Unknown suspect, armed with a handgun, took property from a drugstore / No injuries reported / CPD case",CPD,,-87.5958308501027,41.79945130286288
Non Criminal / Damage to Vehicle,6054 S. Drexel,7/7/16,2/17/16 to 6/14/16 7:00 PM to 7:45 AM,Minor damage noticed on UC owned vehicle / Cause unknown at this time,Closed,16-00575,-87.604867,41.78464
Information / Burglary,54th Pl. & Woodlawn,7/7/16,7/7/16 2:00 AM to 7:00 AM,Unknown person(s) gained entry to private residence off-campus via unsecured rear window / Took electronics from the residence and car from the garage / CPD case HZ339043,CPD,16-00576,-87.5965659,41.7965229
Lost Property,5700 S. Maryland ,7/7/16,6/27/16 to 7/7/16 12:00 PM to 3:30 PM,"Patient reports cash missing from purse, but cannot recall if cash was given to a family member during her stay",Closed,16-00577,-87.60495069999999,41.7910678
Lost Property,5700 S. Maryland ,7/8/16,7/8/16 7:30 AM to 10:00 AM,Individual reported lab coat with stethoscope in pocket was missing from a coat rack containing several similar lab coats,Closed,16-00578,-87.60495069999999,41.7910678
Found Property,970 E. 58th St. ,7/8/16,7/8/16 3:14 PM,Wallet found on bench in plaza / Turned over to UCPD for safekeeping / Owner notified,Closed,16-00579,-87.6014637,41.7897474
Information / Damage to Property,Woodlawn between 55th &56th,7/8/16,7/8/16 8:30 AM to 3:30 PM,Owner found window broken in off-campus private residence / Cause unknown / Referred to CPD,CPD,16-00580,-87.596523999536,41.79415890000472
Criminal Trespass to Land,5835 S. Kenwood ,7/8/16,7/6/16 3:20 PM to 3:35 PM,UCPD officers arrested unauthorized subject for trespass to land and possession of a cell phone that had been taken in a theft,Arrest,16-00581,-87.5931464,41.7893866
Theft,5730 S. Drexel ,7/9/16,7/9/16 12:20 AM to 1:00 AM,"Unknown person took cash from unattended, unsecured purse placed on bench in exam room",Open,16-00582,-87.6038772,41.7903948
Information,5758 S. Maryland ,7/9/16,7/6/16 4:25 PM and 7/9/16 7:30 AM,Investigation of suspicious telephone calls,Open,16-00583,-87.60554789999999,41.7901233
Information / Aggravated Battery,5402 S. Drexel ,7/9/16,7/9/16 3:55 PM,Victim suffered a gunshot wound to the left shoulder as a result of a drive-by shooting off-campus / Transported to hospital by CFD EMS / CPD case HZ342371,CPD,16-00584,-87.60423899999999,41.796669
Information,6202 S. Kimbark,7/9/16,7/8/16 7:00PM,Officer reports body-worn camera damaged when it fell to the ground,Closed,16-00585,-87.5947028,41.7821396
Mental Health Transport,1530 E. 53rd St.,7/9/16,7/9/16 8:19 PM,Disturbed individual was causing a disturbance in a retail establishment / Transported to hospital by CFD EMS for evaluation and treatment,Closed,16-00586,-87.5877553,41.7997953
Shots Fired,Kimbark between 61st & 62nd,7/9/16,7/9/16 9:35 PM,CPD and UCPD officers responded to calls of shots fired off-campus / Resident reported a bullet smashed the kitchen window in an apartment / No injuries reported / CPD case HZ342740,CPD,,-87.59471154969863,41.78324815000196
Unlawful Use of Weapon,5036 S. Drexel,7/10/16,7/10/16 12:33 AM,UCPD officers responding to a disturbance call arrested a suspect for unlawful possession of a handgun,Arrest,16-00587,-87.60470099999999,41.802959
Fire Alarm,5630 S. University ,7/10/16,7/10/16 4:04 AM,Residence hall was evacuated due to a fire alarm / Alarm was triggered due to a faulty sensor in ComEd vault in basement / CFD responded,Closed,16-00588,-87.59843049999999,41.7927938
Found Property,5700 S. Maryland ,7/10/16,7/10/16 9:30 AM,Staff member found small package of marijuana and a pipe among patient's belongings / Turned over to UCPD for proper disposal,Closed,16-00589,-87.60495069999999,41.7910678
Information / Burglary,Ellis between 61st & 62nd,7/11/16,7/11/16 4:30 AM,UCPD officers detained a suspect who had entered off-campus private residence / Suspect turned over to CPD and arrested / CPD case HZ344098,CPD,16-00590,-87.60112349982722,41.78317755000064
Information / Armed Robbery,5000 S. Dorchester ,7/11/16,7/11/16 6:30 AM,"Two unknown suspects, one armed with a handgun, took an iPhone from a victim walking on the sidewalk off-campus / Victim reported no injuries CPD case HZ344135",CPD,16-00591,-87.59225699999999,41.803925
Medical Call,5811 S. Ellis ,7/12/16,7/12/16 10:06 AM,Ill person transported to ER by CFD EMS for evaluation and treatment,Closed,16-00592,-87.600948,41.7889636
Found Property,6054 S. Drexel,7/12/16,7/11/16 6:00 PM to 11:00 PM,First Transit personnel turned over wallet and cell phone found on Shuttle Bus to UCPD for safekeeping,Closed,16-00593,-87.604867,41.78464
Theft,5730 S. Ellis ,7/12/16,7/12/16 7:30 PM to 9:00 PM,Secured bicycle taken from bike rack,Open,16-00594,-87.60255599999999,41.790225
Injured Person,5530 S. Ellis ,7/13/16,7/13/16 6:20 PM,Individual injured leg while playing basketball / Transported to ER by CFD EMS for evaluation and treatment,Closed,16-00595,-87.6016284,41.794474
Theft,5700 S. Ellis ,7/13/16,7/13/16 8:15 AM to 6:15 PM,Bicycle secured to bike rack taken by unknown person,Open,16-00596,-87.60132039999999,41.7913658
Lost Property,5530 S. Ellis ,7/14/16,7/14/16 7:00 PM to 8:30 PM,Individual reports cash missing from backpack,Closed,16-00598,-87.6016284,41.794474
Theft,5706 S. University ,7/15/16,7/15/16 11:40 AM to 11:42 AM,Unknown person took wallet and cell phone from desk,Open,16-00599,-87.5982633,41.7909142
Found Property,970 E. 58th St. ,7/15/16,7/15/16 1:29 PM,Individual found a wallet in the bookstore and turned it over to UCPD for safekeeping,Closed,16-00600,-87.6014637,41.7897474
Assist Other Agency,4900 S. Blackstone,7/16/16,7/16/16 8:26 PM,UCPD officer detained motorist involved in hit & run property damage accident that occurred at 53rd & Woodlawn / Turned over to CPD,CPD,16-00601,-87.591099,41.8058509
Information / Homicide,4721 S. Ellis ,7/17/16,7/17/16 12:45 AM,"2 victims, not affiliated with the University, suffered gunshot wounds as a result of a drive-by shooting off-campus /  One victim died at the scene, second victim transported to the hospital by CFD EMS / Red van seen speeding northbound on Ellis after the shooting / CPD case HZ352140",CPD,16-00602,-87.601023,41.808831
Theft,1101 E. 56th St. ,7/17/16,7/16/16 to 7/17/16 3:30 PM to 11:00 AM,Secured bicycle taken from bike rack,Open,16-00603,-87.59982459999999,41.7930128
Information / Burglary,Harper between 56th & 57th,7/17/16,7/17/16 7:15 AM to 7:30 AM,Unknown person(s) entered off-campus residence via unsecured basement window took computer and other electronics / CPD case,CPD,16-00604,-87.5886662040033,41.792426150338244
Information / Disturbance,5807 S. Woodlawn ,7/18/16,7/18/16 12:50 PM,Contract employees arguing and causing a disturbance in break room / Peace restored,Closed,16-00605,-87.5955699,41.7889213
Non Criminal / Damage to Property,5739 S. Woodlawn ,7/18/16,7/18/16 8:20 AM to 5:10 PM,Owner observed an approximate 4 inch-long scratch on driver's side door of car parked in the parking lot,Closed,16-00606,-87.59641189999999,41.7902612
Theft,5530 S. Ellis ,7/18/16,7/18/16 8:45 PM to 9:00 PM,"iPhone taken from unattended, unsecured bag left in bleachers in gym",Open,16-00607,-87.6016284,41.794474
Lost Property,5815 S. Maryland ,7/19/16,7/16/16 to 7/18/16 2:00 PM to 10:00 PM,Patient reports losing wallet while being transferred between rooms in the hospital,Closed,16-00608,-87.6041439,41.78917240000001
Information / Armed Robbery,Ellis & 62nd St.,7/19/16,7/19/16 5:00 AM,"Two unknown suspects, one armed with a handgun, took property from a victim leaving his residence off-campus / Victim reported no injuries / CPD case HZ354881",CPD,16-00609,-87.6011114,41.782262
Information / Burglary,Kenwood between 57th& 58th,7/19/16,7/19/16 9:00 AM to 10:30 AM,Unknown person(s) entered private off-campus residence via unsecured rear window and took two computers / CPD case HZ355235,CPD,16-00610,-87.59319894967707,41.790551750002244
Mental Health Transport,5555 S. Woodlawn ,7/19/16,7/19/16 12:02 PM,Individual transported to hospital for evaluation and treatment,Closed,16-00611,-87.596282,41.7933941
Found Property,5800 S. Greenwood ,7/20/16,7/20/16 6:00 PM,Individual found a key ring with 6 keys while in the Main Quad / Turned over to UCPD for safekeeping,Closed,16-00612,-87.5997452,41.7939867
Information / Aggravated Battery,4915 S. Woodlawn ,7/20/16,7/20/16 10:55 PM,"Unknown suspect, ran up to victim walking with a companion on the public way off-campus, fired a handgun striking the victim in the abdomen / Suspect fled on foot northbound on Woodlawn / Victim transported to the hospital by CFD EMS / CPD case HZ357543",CPD,16-00613,-87.5964739,41.8055599
Theft,5706 S. University ,7/21/16,7/21/16 12:00 PM,Unknown suspect took cell phone from table while distracting the victim,Open,16-00614,-87.5982633,41.7909142
Information / Shots Fired,61st & Dorchester,7/21/16,7/21/16 5:36 PM,UCPD and Chicago police responded to a call of shots fired off-campus in the area of 61st & Dorchester / No injured persons or property  damage found / No evidence of a shooting / CPD case,CPD,16-00615,-87.59142059999999,41.7841961
Lost Property,915 E. 60th St. ,7/22/16,7/21/16 3:00 PM to 6:00 PM,Individual reports losing iPhone while in the Logan Center,Closed,16-00615,-87.603927,41.7854503
Domestic Battery,5815 S. Maryland ,7/23/16,7/23/16 2:00 PM,"During the course of a domestic argument, patient's boyfriend hit her on the head with an open hand / Victim refused to prosecute",Ex. Cleared,16-00616,-87.6041439,41.78917240000001
Theft,"1101 E, 56th St. ",7/23/16,7/21/16 to 7/22/16 7:00 PM to 7:30 AM,Secured bicycle taken from bike rack,Open,16-00617,-87.59982459999999,41.7930128
Found Property,5221 S. Harper ,7/23/16,7/23/16 4:35 PM,Set of keys found on a flower planter on the public way / Inventoried at UCPD for safekeeping,Closed,16-00618,-87.5880553,41.8003352
