,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
3602,Theft,970 E. 58th St. ,12/18/12 1:27 PM,12/18/12 1:20 PM to 1:25 PM,iPhone taken from pocket of vest draped over the back of a chair in café,Open,B01599,-87.6014637,41.789747399999996
3603,Theft,5807 S. Woodlawn ,12/18/12 1:34 PM,12/18/12 12:20 PM to 12:30 PM,Wallets taken from two purses left unattended in unsecured office / Subsequent unauthorized use of credit cards reported,Open,B01598,-87.5955699,41.7889213
3606,Theft,970 E. 58th St. ,12/19/12 5:04 PM,12/19/12 4:50 PM,Unknown male took articles of clothing from the bookstore without paying,Open,B01602,-87.6014637,41.789747399999996
3610,Theft,5840 S. Kenwood ,12/20/12 4:41 PM,12/20/12 7:50 AM to 3:30 PM,Bicycle secured to bike rack taken by unknown person,Open,B01605,-87.59318329999998,41.7893743
3612,Theft,5758 S. Maryland ,12/21/12 11:45 AM,12/20/12 to 12/21/12 6:00 PM to 8:00 AM,Unattended personal radio left on reception desk taken by unknown person,Open,B01608,-87.60554789999998,41.7901233
3634,Theft from Motor Vehicle,1155 E. 60th St. ,12/31/12 2:45 PM,12/31/12 7:30 AM to 2:45 PM,Unknown person(s) took wheels from 2 cars parked in parking lot,Open,B01630,-87.5971531,41.7855052
3639,Theft,5812 S. Ellis ,1/2/13 8:53 AM,12/20/12 to 1/2/13 4:00 PM to 7:30 AM,Unknown person took gift cards from office cabinet,Open,C00005,-87.6023235,41.7891449
3641,Theft,970 E. 58th St. ,1/2/13 1:22 PM,1/2/13 1:15 PM,UCPD officers arrested a male subject for retail theft / Complainant declined prosecution,Arrest,C00007,-87.6014637,41.789747399999996
3651,Theft,5118 S. Dorchester,1/5/13 2:09 PM,1/5/13 12:00 PM to 12:05 PM,Unattended bags of groceries taken from lobby of apartment building,Open,C00017,-87.59217790000001,41.801687
3654,Theft,5815 S. Maryland ,1/5/13 8:44 PM,1/5/13 4:30 PM to 6:15 PM,Unattended wallet taken from patient's room,Open,C00020,-87.6041439,41.78917240000001
3662,Theft,5748 S. Blackstone ,1/7/13 4:59 PM,1/7/13 2:00 PM to 4:55 PM,Unknown person took secured bicycle from bike rack.,Open,C00028,-87.5905458,41.79010220000001
3665,Theft,1212 E. 59th St. Ida Noyes Pub,1/8/13 10:15 AM,1/7/13 9:00 PM to 11:50 PM,Unattended tote bag left in chair taken by unknown person,Open,C00031,-87.5955798,41.7882112
3668,Theft,5758 S. Maryland ,1/9/13 12:58 PM,12/28/12 to 1/2/13 6:00 PM to 7:20 AM,Three Dell laptop computers taken from locked storage cabinet / No sign of forced entry to cabinet,Open,C00034,-87.60554789999998,41.7901233
3671,Theft,5707 S. Woodlawn,1/10/13 7:44 AM,1/9/13 to 1/10/13 3:00 PM to 5:30 AM,"Pipefittings, sheet metal and communication wire taken from construction site",Open,C00037,-87.59608320000001,41.7911459
3672,Theft,1212 E. 59th St. ,1/10/13 8:17 PM,1/10/13 7:35 PM to 8:15 PM,i-Phone and credit cards taken from unattended handbag,Open,C00040,-87.5955798,41.7882112
3674,Theft,5514 S. University ,1/11/13 12:25 PM,1/10/13 7:15 PM to 7:25 PM,Unattended cell phone left on counter in public area was taken by unknown person,Open,C00042,-87.59833540000001,41.7946356
3680,Theft,5514 S. University ,1/12/13 11:39 AM,1/10/2013 8:30 PM to 8:45 PM,Unattended iPhone left on table in dining hall taken by unknown person,Open,C00048,-87.59833540000001,41.7946356
3681,Theft,5530 S. Ellis ,1/12/13 12:11 PM,1/12/11 10:30 AM to 12:05 PM,Unknown person removed combination lock from locker and took victim's clothing and wallet / Property found and returned to owner,Unfounded,C00049,-87.60162840000001,41.794474
3682,Theft,1005 E. 60th St. ,1/12/13 1:20 PM,1/12/13 9:00 AM to 1:00 PM,Bicycle secured to bike rack taken by unknown person,Open,C00050,-87.60017669999998,41.785430600000005
3685,Theft,1101 E. 56th St. ,1/13/13 10:03 AM,1/12/13 to 1/13/13  3:00 PM to 9:30 AM,Unknown person took secured bicycle from bike rack,Open,C00053,-87.59982459999998,41.7930128
3689,Theft,1414 E. 59th St. ,1/14/13 9:54 AM,1/13/13 1:00 AM to 10:00 AM,Unattended purse left in locker area taken by unknown person,Open,C00057,-87.59083340000001,41.788238899999996
3690,Theft,5730 S. Drexel ,1/14/13 2:12 PM,1/13/13 5:30 PM to 7:30 PM,Unattended wallet left in waiting area taken by unknown person,Open,C00058,-87.6038772,41.790394799999994
3697,Theft,924 E. 57th St. ,1/16/13 12:04 PM,1/15/13 to 1/16/13 8:00 AM to 8:00 AM,Unknown person took secured bicycle from bike rack,Open,C00065,-87.6028077,41.79192099999999
3703,Theft,5714 S. Woodlawn ,1/19/13 12:56 PM,1/19/13 1:30 AM to 2:00 AM,iPhone and wallet taken from jacket left unattended,Open,C00071,-87.59681669999998,41.7908719
3708,Theft,1005 E. 60th St. ,1/20/13 3:56 PM,1/17/13 to 1/18/13 9:00 AM to 6:00 PM,Bicycle secured to bike rack taken by unknown person,Open,C00076,-87.60017669999998,41.785430600000005
3712,Theft,5706 S. University ,1/22/13 10:15 AM,1/11/13 to 1/15/13 6:30 PM to10:00 AM,Cash box taken from unsecured cabinet in secured office,Open,C00080,-87.59826329999999,41.7909142
3719,Theft,5823 S. Kenwood ,1/22/13 8:05 PM,1/22/13 3:30 PM to 6:00 PM,iPhone taken from unattended gym bag left in bleachers in Sunny Gym,Open,C00089,-87.5931488,41.789430700000004
3721,Theft,901 E. 58th St. ,1/23/13 6:05 AM,1/23/13 2:00 AM to 6:00 AM,Wallet taken from purse left unattended in nursing station,Open,C00090,-87.6049245,41.78949770000001
3725,Theft,5828 S. University ,1/24/13 7:14 PM,1/23/13 to 1/24/13 9:30 AM to 7:10 PM,Unknown person took secured bicycle from bike rack,Open,C00094,-87.59828089999998,41.788960700000004
3733,Theft,5714 S. Woodlawn ,1/25/13 2:33 PM,1/25/13 2:00 AM,Unknown person(s) took fraternity flag from entrance to the building,Open,C00101,-87.59681669999998,41.7908719
3739,Theft,1100 E. 57th St. ,1/26/13 11:08 PM,1/23/13 to 1/24/13 9:00 PM to 11:00 AM,Bicycle secured to bike rack taken by unknown person,Open,C00108,-87.6001136,41.7922076
3746,Theft,1116 E. 59th St. ,1/28/13 4:05 PM,1/28/13 10:00 AM to 10:30 AM,Wallet left unattended on a table in café was taken by an unknown person,Open,C00115,-87.59957940000001,41.7879593
3749,Theft,1116 E. 59th St. ,1/29/13 7:38 PM,1/29/13 6:30 PM to 7:00 PM,Unattended cell phone placed on desk in lobby taken by an unknown person,Open,C00118,-87.59957940000001,41.7879593
3750,Theft,5841 S. Maryland ,1/30/13 10:50 AM,1/29/13 to 1/30/13 8:00 PM to 7:00 AM,Unknown person took unknown amount of cash from a bowl and cup in unsecured work area,Open,C00119,-87.6045656,41.7883128
3753,Theft,5530 S. Ellis ,1/30/13 2:53 PM,1/30/13 12:00 PM to 1:00 PM,Cell phone left unattended on bench in locker room was taken by an unknown person,Open,C00122,-87.60162840000001,41.794474
3763,Attempt Theft from Motor Vehicle,6045 S. Kenwood ,2/1/13 6:45 PM,2/1/13 9:51 AM to 6:05 PM,Unknown person(s) loosened lug nuts in an attempt to take wheels from unoccupied parked vehicle,Open,C00132,-87.592671,41.7847535
3779,Theft,1212 E. 59th St. ,2/8/13 10:32 AM,2/7/13 8:30 PM to 11:30 PM,"Backpack containing laptop computer, charger, and text book left unattended in foyer was taken by an unknown person",Open,C00149,-87.5955798,41.7882112
3780,Theft,5807 S. Woodlawn ,2/8/13 2:42 PM,2/5/13 1:30 PM,Person took item of food in cafeteria without paying cashier / Complainant refused to prosecute,Ex. Cleared,C00150,-87.5955699,41.7889213
3786,Theft,5839 S. Maryland ,2/11/13 3:08 PM,1/28/13 9:45 AM to 2:30 PM,Unknown person took cell phone from pocket of a coat left in unsecured room,Open,C00155,-87.6049245,41.7887309
3788,Theft,5812 S. Ellis ,2/11/13 5:13 PM,2/11/13 10:30 AM to 5:00 PM,Bicycle secured to bike rack taken by an unknown person,Open,C00158,-87.6023235,41.7891449
3792,Theft,5758 S. Maryland ,2/13/13 1:11 PM,2/13/13 9:00 AM to 9:30 AM,Unknown person removed victim's wallet from her purse / Subsequent unauthorized use of credit cards reported,Open,C00162,-87.60554789999998,41.7901233
3798,Theft,900 E. 57th St. ,2/14/13 9:41 AM,2/13/13 to 2/14/13 2:00 PM to 7:00 AM,Staff member left laptop computer in the building lobby and cannot locate it / Suspect identified / Property returned / Victim declined to prosecute,Ex. Cleared,C00168,-87.6034081,41.791646899999996
3800,Theft,5640 S. University ,2/14/13 3:26 PM,2/14/13 10:30 AM to 1:20 PM,Unknown person took secured bicycle from bike rack,Open,C00170,-87.59822439999998,41.7925325
3803,Theft,5530 S. Ellis ,2/15/13 7:02 PM,2/15/13 5:45 PM to 6:15 PM,Unattended sweatpants with cell phone in the pocket left near the bleachers was taken by unknown person,Open,C00173,-87.60162840000001,41.794474
3805,Theft,1212 E. 59th St. ,2/15/13 8:20 PM,2/15/13 6:15 PM to 7:45 PM,Two tablet computers left unattended on kitchen countertop taken by an unknown person,Open,C00175,-87.5955798,41.7882112
3817,Theft,6031 S. Ellis ,2/19/13 2:47 PM,2/1/13 8:30 PM to 9:30 PM,Unknown person(s) took items of clothing from the laundry room,Open,C00189,-87.60034870000001,41.78502539999999
3821,Theft from Motor Vehicle,6000 S. Stony Island ,2/20/13 3:57 PM,2/12/13 7:30 AM to 4:00 PM,Unknown person(s) took catalytic convertor from an unattended parked vehicle,Open,C00194,-87.586997,41.785787899999995
3827,Theft,5706 S. University ,2/21/13 6:29 PM,2/21/13 6:25 PM,Unknown male asked to use victim's cell phone / Victim handed the phone to suspect / Suspect walked off with the phone,Open,C00199,-87.59826329999999,41.7909142
3838,Theft,5706 S. University ,2/27/13 11:44 AM,2/24/13 to 2/25/13 12:00 PM to 10:00 AM,Unknown person removed cash from a secured safe in a secured office / No sign of forced entry,Open,C00211,-87.59826329999999,41.7909142
3862,Theft,5811 S. Ellis ,3/5/13 6:49 PM,3/4/13 2:50 PM to 4:20 PM,Cell phone taken from pocket of an unattended jacket draped over the back of a chair,Open,C00236,-87.600948,41.7889636
3865,Theft,5730 S. Drexel ,3/6/13 5:43 PM,3/6/13 1:30 PM to 2:30 PM,Unattended Nintendo game taken from patient's room,Open,C00239,-87.6038772,41.790394799999994
3870,Theft,Greenwood between 54th & 55th,3/7/13 3:46 PM,2/28/13 to 3/6/13 9:00 AM to 11:00 AM,Unknown person took bicycle from secured storage area of apartment building,Open,C00244,-87.59973880069491,41.79648045000404
3875,Theft,5758 S. Maryland ,3/8/13 5:32 PM,3/7/13 9:30 AM to 1:00 PM,Unknown person took unattended purse from table in staff lounge on 6th floor,Open,C00251,-87.60554789999998,41.7901233
3876,Theft from Motor Vehicle,6000 S. Stony Island ,3/8/13 6:52 PM,2/27/13 to 3/7/13 10:00 AM to 6:50 PM,Unknown person(s) took 4 tires from car parked in the parking lot,Open,C00252,-87.586997,41.785787899999995
3882,Theft from Person,1401 E. Midway Pl. ,3/10/13 12:16 PM,3/10/13 12:13 PM,Unknown male snatched cell phone from the hand of a victim standing at a bus stop,Open,C00258,-87.1398473,41.542436200000004
3884,Theft,1155 E. 60th St. ,3/11/13 9:12 AM,3/11/13 8:55 AM to 9:05 AM,Unattended cell phone taken from desk in unsecured office,Open,C00260,-87.5971531,41.7855052
3888,Theft,5758 S. Maryland ,3/12/13 5:29 PM,3/11/13 to 3/12/13 6:00 PM to 4:00 PM,Laptop computer taken from unsecured room,Open,C00264,-87.60554789999998,41.7901233
3889,Theft,1304 E. 53rd St.,3/12/13 6:17 PM,3/12/13 6:00 PM,UCPD officers arrested a male subject for retail theft,Arrest,C00265,-87.594647,41.79947979999999
3890,Theft,5706 S. University ,3/13/13 2:06 PM,1/22/13 to 3/9/13 12:00 AM to 10:15 PM,Cash box taken from desk drawer in office / No signs of forced entry,Open,C00266,-87.59826329999999,41.7909142
3894,Theft,5760 S. University ,3/14/13 8:33 AM,3/13/13 to 3/14/13 8:30 PM to 8:15 AM,"Unattended laptop computer taken from a secured, shared office",Open,C00270,-87.59806449999998,41.7900995
3896,Theft,5530 S. Ellis ,3/15/13 8:42 AM,3/14/13 10:45 PM to 11:00 PM,Cell phone and debit card taken from unsecured locker,Open,C00272,-87.60162840000001,41.794474
3902,Theft,1215 E. Hyde Park ,3/17/13 4:15 PM,3/15/13 to 3/17/13 7:15 PM to 4:15 PM,Bicycle taken from common area - 1st floor lounge,Open,C00278,-87.59634249999998,41.8021008
3906,Theft,5815 S. Maryland ,3/18/13 5:21 PM,3/14/13 8:45 AM to 12:30 PM,iPhone taken from bedside table in patient's room,Open,C00282,-87.6041439,41.78917240000001
3907,Theft,5730 S. Ellis ,3/18/13 6:38 PM,3/18/13 12:10 PM to 12:15 PM,Unattended iPhone left on desk at computer station was taken by an unknown person,Open,C00283,-87.60255599999998,41.790225
3925,Theft,5706 S. University ,3/25/13 8:48 AM,3/19/13 to 3/25/13 9:00 AM to 8:40 AM,Unknown person took 40 ft. of copper wire from electrical closet in basement of building,Open,C00302,-87.59826329999999,41.7909142
3926,Theft,5758 S. Maryland ,3/25/13 9:22 AM,3/22/13 to 3/25/13 3:30 PM to 8:00 AM,Unknown person took two laptop computers from a secured office,Open,C00303,-87.60554789999998,41.7901233
3932,Theft,5530 S. Ellis ,3/28/13 11:34 AM,3/28/13 10:00 AM to 11:30 AM,Unknown person took rear wheel off of a bicycle secured in the bike rack,Open,C00309,-87.60162840000001,41.794474
3935,Theft,941 E. 54th Pl.,3/28/13 6:38 PM,3/27/13 to 3/28/13 7:00 PM to 5:00 PM,Unsecured bicycle taken from the rear of private apartment building,Open,C00312,-87.6021141,41.79632220000001
3937,Theft,5734 S. Ellis ,3/28/13 8:36 PM,3/28/13 12:00 PM to 8:30 PM,Unknown person cut chain and took secured bicycle,Open,C00314,-87.6016511,41.79029329999999
3948,Theft,1100 E. 58th St. ,4/1/13 12:49 PM,3/30/13 to 4/1/13 5:00 PM to 8:00 AM,Laptop computer taken from secured office,Open,C00326,-87.59917689999997,41.7901848
3955,Theft,950 E. 61st St. ,4/2/13 2:18 PM,4/2/13 12:00 PM to 1:00 PM,"Woman left her purse in 3rd floor restroom / Returned to find the purse had been taken by unknown person / Purse found in office, had not been stolen",Unfounded,C00333,-87.6024204,41.7844442
3966,Theft,5758 S. Maryland ,4/5/13 4:18 PM,4/2/13 to 4/3/13 8:00 AM to 8:00 AM,Unattended coat taken from office,Open,C00347,-87.60554789999998,41.7901233
3978,Theft,1131 E. 57th St. ,4/8/13 10:27 AM,4/6/13 5:30 PM to 10:30 PM,Unknown person took a wallet from unattended bag left under a table behind the stage,Open,C00359,-87.5982604,41.791237
3979,Theft,1450 E. 59th St. ,4/8/13 10:48 AM,4/5/13 to 4/8/13 9:00 PM to 7:00 AM,Unknown person took wheel from bicycle secured to bike rack,Open,C00360,-87.5896075,41.7880876
3982,Theft,5748 S. Blackstone ,4/10/13 11:28 AM,4/9/13 to 4/10/13 5:00 PM to 9:00 AM,Bicycle secured to bike rack taken by unknown person,Open,C00363,-87.5905458,41.79010220000001
3987,Theft,1055 E. 55th St. ,4/10/13 11:29 PM,4/10/13 10:15 PM to 11:20 PM,Unattended purse taken from chair,Open,C00368,-87.6002467,41.7949283
3993,Theft from Motor Vehicle,5514 S. University ,4/12/13 3:49PM,4/10/13 to 4/11/13 4:50 PM to 12:30 PM,Parking placard taken from interior of unsecured vehicle,Open,C00375,-87.59833540000001,41.7946356
4001,Theft,901 E. 58th St. ,4/14/13 3:36 PM,4/14/13 12:30 PM to 2:30 PM,Unattended cell phone left on table in cafeteria taken by unknown person / Phone found in cafeteria and returned to owner,Unfounded,C00383,-87.6049245,41.78949770000001
4002,Theft,6031 S. Ellis ,4/14/13 6:02 PM,4/13/13 to 4/14/13 8:00 PM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,C00384,-87.60034870000001,41.78502539999999
4005,Theft,5758 S. Maryland ,4/15/13 7:40 AM,4/12/13 to 4/15/13 4:00 PM to 7:40 AM,Gym shoes taken from an unsecured locker,Open,C00388,-87.60554789999998,41.7901233
4008,Theft,5758 S. Maryland ,4/16/13 9:09 AM,4/15/13 to 4/16/13 5:30 PM to 9:00 AM,Computer taken from unsecured office,Open,C00391,-87.60554789999998,41.7901233
4009,Theft,5700 S. Maryland ,4/16/13 3:50 PM,4/16/13 2:30 PM to 3:45 PM,Woman left her purse unattended in café / Returned to find someone had taken the purse,Open,C00392,-87.60495069999997,41.79106779999999
4014,Theft,1212 E. 59th St. ,4/17/13 12:42 PM,4/12/13  12:00 PM to 3:00 PM,Unattended cash box taken from table in lobby,Open,C00397,-87.5955798,41.7882112
4015,Theft,915 E. 60th St. ,4/17/13 2:39 PM,4/11/13 to 4/16/13 6:05 PM to 10:00 AM,Secured bicycle taken from bike rack,Open,C00398,-87.603927,41.785450299999994
4017,Theft,5758 S. Maryland ,4/17/13 4:26 PM,4/6/13 to 4/17/13 12:00 PM to 11:00 AM,Shared laptop computer taken from unlocked file cabinet drawer in office,Open,C00400,-87.60554789999998,41.7901233
4018,Theft,5700 S. Maryland ,4/17/13 10:26 PM,4/17/13 3:00 PM to 8:00 PM,Unknown person took two earrings from pocket of victim's lab coat,Open,C00402,-87.60495069999997,41.79106779999999
4032,Theft,5758 S. Maryland ,4/22/13 8:10 AM,4/18/13 to 4/22/13 10:00 AM to 7:45 AM,Unknown person took Playstation 2 system and DVDs from a storage closet,Open,C00418,-87.60554789999998,41.7901233
4036,Theft,5840 S. Kenwood ,4/22/13 4:00 PM,4/22/13 7:40 AM to 1:30 PM,Two bicycles secured to bike rack taken by unknown person(s),Open,C00422,-87.59318329999998,41.7893743
4043,Theft,924 E. 57th St. ,4/24/13 10:09 AM,4/23/13 to 4/24/13 7:00 PM to 10:00 AM,Unknown person took secured bicycle from bike rack,Open,C00431,-87.6028077,41.79192099999999
4044,Theft,1100 E. 58th St. ,4/24/13 12:14 PM,4/23/13 to 4/24/13 12:00 PM to 11:00 AM,15 toner ink cartridges taken from secured storage closet,Open,C00432,-87.59917689999997,41.7901848
4045,Theft,1010 E. 59th St. ,4/24/13 2:42 PM,4/24/13 10:00 AM to 12:00 PM,Wallet taken from unattended book bag left on a bench,Open,C00433,-87.60082369999998,41.7879638
4046,Theft from Motor Vehicle,5827 S. Stony Island,4/24/13 3:04 PM,4/24/13 3:04 PM,UCPD officers arrested a male subject upon observing him smash the window of an unoccupied car and take a computer bag,Arrest,C00434,-87.5866156,41.7879153
4050,Theft,910 E. 58th St.  ,4/25/13 8:14 AM,4/19/13 7:30 AM to 1200 PM,Unknown person took a balance scale from unsecured chemical lab,Open,C00438,-87.60338320000001,41.78993010000001
4051,Theft,5758 S. Maryland ,4/25/13 9:21 AM,4/24/13 to 4/25/13 3:00 PM to 8:30 AM,Personal prescription medication taken from unsecured desk drawer in secured office,Open,C00439,-87.60554789999998,41.7901233
4052,Theft,1126 E. 59th St. ,4/25/13 10:34 AM,4/25/13 9:00 AM to 10:30 AM,Bicycle secured to bike rack taken by an unknown person,Open,C00440,-87.6000808,41.7883749
4053,Theft,935 E. 56th St. ,4/25/13 9:55 AM,4/24/13 to 4/25/13 5:00 PM to 9:30 AM,Secured bicycle taken from bike rack,Open,C00441,-87.6022332,41.7931688
4057,Theft from Motor Vehicle,5840 S. Maryland ,4/25/13 8:13 PM,4/25/13 11:15 AM to 8:10 PM,Four hub caps taken from vehicle parked on the 2nd floor of the parking structure,Open,C00445,-87.60499859999999,41.7888793
4063,Theft,5841 S. Maryland ,4/26/13 1:26 PM,4/26/13 11:00 AM to 1:00 PM,Wallet taken from unattended purse left in unsecured office,Open,C00452,-87.6045656,41.7883128
4064,Theft,1100 E. 57th St. ,4/26/13 3:01 PM,4/16/13 to 4/23/13 5:45 PM to 9:00 AM,Unknown person took secured bicycle from bike rack,Open,C00453,-87.6001136,41.7922076
4080,Theft,5839 S. Maryland ,4/30/13 12:42 PM,4/26/13 2:30 PM to 5:00 PM,Unknown person took wallet from unattended purse left in unlocked desk in unsecured office,Open,C00469,-87.6049245,41.7887309
4088,Theft,5706 S. University ,5/2/13 8:12 AM,4/30/13 to 5/2/13 10:30 AM to 8:10 AM,Cash box taken from secured office,Open,C00478,-87.59826329999999,41.7909142
4089,Theft,5700 S. Maryland ,5/2/13 8:52 AM,5/2/13 8:48 AM,Woman took merchandise from retail establishment without paying / Arrested by UCPD,Arrest,C00479,-87.60495069999997,41.79106779999999
4090,Theft,5758 S. Maryland ,5/2/13 3:58 PM,4/25/13 to 5/2/13 4:30 PM to 9:00 AM,iPad taken from unsecured drawer in office,Open,C00480,-87.60554789999998,41.7901233
4091,Theft,5530 S. Ellis ,5/2/13 4:29 PM,5/1/13 to 5/2/13 6:00 PM to 3:00 PM,Two pair of running shoes taken from unsecured lockers in women's locker room,Open,C00481,-87.60162840000001,41.794474
4093,Theft from Motor Vehicle,5840 S. Maryland ,5/3/13 9:02 AM,5/2/13 to 5/3/13 7:00 PM to 9:00 AM,Unknown person smashed window of vehicle parked on the 3rd level / Took a transponder,Open,C00483,-87.60499859999999,41.7888793
4094,Theft,950 E. 58th St. ,5/3/13 12:04 PM,5/3/13 12:04 PM,Woman took food from cafeteria without paying / Arrest by UCPD,Arrest,C00484,-87.6021833,41.78955429999999
4113,Theft,5530 S. Ellis ,5/7/13 11:54 AM,5/6/13 2:30 PM to 3:30 PM,Wallet and keys taken from an unsecured locker,Open,C00505,-87.60162840000001,41.794474
4114,Theft,1100 E. 57th St. ,5/7/13 2:19 PM,1/1/11 to 5/1/12 2:20 PM to 3:00 PM,Maps taken from library collection,Open,C00506,-87.6001136,41.7922076
4117,Theft,5630 S. University ,5/8/13 12:19 AM,5/7/13 7:00 PM to 11:00 PM,Cash and UC ID taken from unattended wallet left on a table in 2nd floor student lounge,Open,C00509,-87.59843049999998,41.7927938
4118,Theft,5815 S. Maryland ,5/8/13 11:28 AM,5/8/13 11:10 AM to 11:15 AM,Unattended iPad left on the counter in the gift shop was taken by an unknown person / Property found by owner on 5/9/13 / not stolen,Unfounded,C00510,-87.6041439,41.78917240000001
4120,Theft,1414 E. 59th St. ,5/8/13 6:26 PM,5/8/13 10:00 AM to 6:20 PM,Secured bicycle taken from bike rack,Open,C00512,-87.59083340000001,41.788238899999996
4127,Theft,5445 S. Ingleside ,5/9/13 5:22 PM,5/8/13 to 5/9/13 6:00 PM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,C00519,-87.60229249999998,41.7967734
4128,Theft,1009 E. 57th St. ,5/9/13 9:48 PM,5/3/13 12:00 AM to 9:00 AM,iPad taken from room,Open,C00520,-87.6005453,41.791078399999996
4132,Theft,5807 S. Woodlawn ,5/10/13 2:56 PM,5/8/13  to 5/9/13 6:00 PM to 2:15 AM,Unknown person took secured bicycle from bike rack,Open,C00524,-87.5955699,41.7889213
4143,Theft,5720 S. Ellis ,5/13/13 11:55 AM,5/7/13 1:00 PM to 5:20 PM,Unattended wallet left in unsecure lab station taken by unknown person,Open,C00538,-87.6014198,41.7910491
4150,Theft,5812 S. Ellis ,5/14/13 9:49 AM,5/14/13 9:15 AM to 9:40 AM,Unknown person took secured bicycle from bike rack,Open,C00545,-87.6023235,41.7891449
4152,Theft,5737 S. Ellis ,5/15/13 1:46 PM,4/15/13 to 4/30/13 12:00 PM to 12:00 PM,Unknown person took MacBook computer from a locked cabinet in the lab,Open,C00547,-87.6012714,41.7904111
4153,Theft,5550 S. University ,5/15/13 7:02 PM,5/15/13 6:00 PM to 7:00 PM,iPhone left unattended on the gym floor taken by an unknown person,Open,C00548,-87.598936,41.793561100000005
4154,Theft from Person,Ellis between 55th & 56th,5/15/13 7:37 PM,5/15/13 7:30 PM,"Unknown male, riding a bicycle, snatched iPhone from the hand of victim walking on the sidewalk",Open,C00549,-87.60133470006645,41.7941028500001
4157,Theft from Motor Vehicle,5840 S. Maryland ,5/15/13 9:43 PM,5/15/13 6:25 AM to 9:30 PM,Catalytic converter taken from vehicle parked on the 3rd floor of parking structure,Open,C00552,-87.60499859999999,41.7888793
4160,Theft,1050 E. 59th St. ,5/16/13 3:56 PM,5/15/13 12:55 PM,Camera taken by unknown person,Open,C00555,-87.6006031,41.788697000000006
4161,Theft,1118 E. 58th St. ,5/17/13 12:59 PM,5/9/13 to 5/17/13 10:30 AM to 12:50 PM,7 boxes of HP ink cartridges taken from secured supply closet / No sign of forced entry,Open,C00556,-87.6012587,41.789548100000005
4171,Theft,6030 S. Ellis ,5/21/13 10:27 AM,5/21/13 7:45 AM to 8:00 AM,Unattended iPhone taken from desk top in office,Open,C00568,-87.6015846,41.7848778
4174,Theft,5706 S. University ,5/23/13 2:39 PM,5/23/13 1:15 PM to 2:15 PM,Unattended messenger bag left in room 300 taken by an unknown person,Open,C00571,-87.59826329999999,41.7909142
4175,Theft,5706 S. University ,5/23/13 3:51 PM,5/23/13 2:30 PM to 3:30 PM,Wallet taken from coat pocket / Subsequent unauthorized use of credit and debit cards reported,Open,C00572,-87.59826329999999,41.7909142
4176,Theft,5550 S. University ,5/25/13 2:38 PM,5/25/2013  1:30 PM to 2:00 PM,iPhone taken from unsecured locker,Open,C00573,-87.598936,41.793561100000005
4177,Theft,5550 S. University ,5/25/13 2:13 PM,5/25/13 1:45 PM,Unattended iPhone and cash taken from area near the racquetball court,Open,C00574,-87.598936,41.793561100000005
4181,Theft,5758 S. Maryland ,5/28/13 11:42 AM,5/21/13 to 5/22/13 4:30 PM to 7:30 AM,Unattended watch taken from nurse's work station,Open,C00579,-87.60554789999998,41.7901233
4183,Theft,5812 S. Ellis ,5/28/13 3:50 PM,5/28/13 2:45 PM to 2:50 PM,Unattended iPhone left in washroom taken by unknown person,Open,C00581,-87.6023235,41.7891449
4186,Theft,5445 S. Ingleside ,5/29/13 11:36 AM,5/26/13 to 5/29/13 3:00 PM to 10:00 AM,Unknown person took secured bicycle from bike rack,Open,C00584,-87.60229249999998,41.7967734
4191,Theft,5505 S. Ellis ,5/30/13 11:11 AM,5/7/13 7:30 AM to 3:00 PM,Unknown person took coins from a parked vehicle,Open,C00589,-87.601637,41.79457499999999
4193,Theft,1100 E. 57th St. ,5/30/13 8:04 PM,5/30/13 9:00 AM to 8:00 PM,Unknown person took secured bicycle from bike rack,Open,C00591,-87.6001136,41.7922076
4194,Theft,5815 S. Maryland ,5/30/13 11:44 PM,5/30/13 6:30 PM to 11:40 PM,Unattended raincoat taken from room / Coat found on 5/31/13 no theft involved,Unfounded,C00592,-87.6041439,41.78917240000001
4197,Theft,5700 S. Maryland ,5/31/13 6:26 PM,5/31/13 10:00 AM to 3:30 PM,Unattended cell phone taken from patient's room,Open,C00595,-87.60495069999997,41.79106779999999
4199,Theft,5020 S. Cornell ,6/1/13 6:47 AM,6/1/13 5:30 AM to 6:00 AM,Unattended iPhone take by unknown person,Open,C00597,-87.58677220000001,41.803385799999994
4200,Theft,5514 S. University ,6/1/13 2:59 PM,6/1/13 6:00 AM to 2:00 PM,Unknown person took secured bicycle from bike rack,Open,C00598,-87.59833540000001,41.7946356
4203,Theft,947 E. 58th St. ,6/3/13 9:17 AM,5/20/13 10:00 AM,Unattended wallet left on desk in unsecured office taken by an unknown person / Subsequent attempted use of credit cards reported,Open,C00601,-87.6025521,41.7893783
4206,Theft,5532 S. Kenwood ,6/4/13 1:12 PM,5/30/13 to 5/31/13 6:00 PM to 9:00 AM,Unknown person took secured bicycle from bike rack,Open,C00604,-87.593694,41.7941239
4209,Theft,5815 S. Maryland ,6/4/13 6:23 PM,6/3/13 to 6/4/13 1:00 PM to 3:30 AM,Unknown person took cell phone from the pocket of a hospital gown in patient's room,Open,C00607,-87.6041439,41.78917240000001
